Set_id	Time	Line 0	Line 1	Line 2	Sum
0	0.000000	4.567296	0.680000	1.362176	6.609472
0	0.101017	4.487168	0.641024	1.362176	6.490368
0	0.202035	4.447104	0.600960	1.362176	6.410240
0	0.303052	4.407040	0.600960	1.362176	6.370176
0	0.404069	4.407040	0.560896	1.362176	6.330112
0	0.505087	4.366976	0.560896	1.362176	6.290048
0	0.606104	4.366976	0.520832	1.362176	6.249984
0	0.707122	4.366976	0.520832	1.362176	6.249984
0	0.808139	4.326912	0.520832	1.362176	6.209920
0	0.909156	4.326912	0.520832	1.362176	6.209920
0	1.010174	4.326912	0.480768	1.362176	6.169856
0	1.111191	4.326912	0.480768	1.362176	6.169856
0	1.212208	4.326912	0.480768	1.362176	6.169856
0	1.313226	4.326912	0.480768	1.362176	6.169856
0	1.414243	4.326912	0.480768	1.362176	6.169856
0	1.515261	4.326912	0.480768	1.362176	6.169856
0	1.616278	4.286848	0.480768	1.362176	6.129792
0	1.717295	4.286848	0.480768	1.362176	6.129792
0	1.818313	4.286848	0.480768	1.362176	6.129792
0	1.919330	4.326912	0.480768	1.362176	6.169856
0	2.020347	4.326912	0.480768	1.362176	6.169856
0	2.121365	4.326912	0.480768	1.362176	6.169856
0	2.222382	4.326912	0.520832	1.362176	6.209920
0	2.323400	4.326912	0.480768	1.362176	6.169856
0	2.424417	4.326912	0.480768	1.362176	6.169856
0	2.525434	4.326912	0.480768	1.362176	6.169856
0	2.626452	4.326912	0.480768	1.362176	6.169856
0	2.727469	4.326912	0.480768	1.362176	6.169856
0	2.828486	4.326912	0.480768	1.362176	6.169856
0	2.929504	4.326912	0.480768	1.362176	6.169856
0	3.030521	4.326912	0.480768	1.362176	6.169856
0	3.131539	4.326912	0.480768	1.362176	6.169856
0	3.232556	4.326912	0.480768	1.362176	6.169856
0	3.333573	4.286848	0.480768	1.362176	6.129792
0	3.434591	4.286848	0.480768	1.362176	6.129792
0	3.535608	4.286848	0.480768	1.362176	6.129792
0	3.636625	4.286848	0.480768	1.362176	6.129792
0	3.737643	4.286848	0.480768	1.362176	6.129792
0	3.838660	4.286848	0.480768	1.362176	6.129792
0	3.939678	4.326912	0.480768	1.362176	6.169856
0	4.040695	4.326912	0.480768	1.362176	6.169856
0	4.141712	4.326912	0.480768	1.362176	6.169856
0	4.242730	4.326912	0.480768	1.362176	6.169856
0	4.343747	4.286848	0.480768	1.362176	6.129792
0	4.444764	4.326912	0.480768	1.362176	6.169856
0	4.545782	4.326912	0.480768	1.362176	6.169856
0	4.646799	4.326912	0.480768	1.362176	6.169856
0	4.747817	4.326912	0.480768	1.362176	6.169856
0	4.848834	4.326912	0.480768	1.362176	6.169856
0	4.949851	4.366976	0.480768	1.362176	6.209920
0	5.050869	4.366976	0.480768	1.362176	6.209920
0	5.151886	4.366976	0.480768	1.362176	6.209920
0	5.252903	4.366976	0.480768	1.362176	6.209920
0	5.353921	4.366976	0.480768	1.362176	6.209920
0	5.454938	4.366976	0.480768	1.362176	6.209920
0	5.555956	4.366976	0.480768	1.362176	6.209920
0	5.656973	4.326912	0.480768	1.362176	6.169856
0	5.757990	4.326912	0.480768	1.362176	6.169856
0	5.859008	4.326912	0.480768	1.362176	6.169856
0	5.960025	4.326912	0.480768	1.362176	6.169856
0	6.061042	4.326912	0.480768	1.362176	6.169856
0	6.162060	4.326912	0.480768	1.362176	6.169856
0	6.263077	4.286848	0.480768	1.362176	6.129792
0	6.364095	4.286848	0.480768	1.362176	6.129792
0	6.465112	4.286848	0.480768	1.362176	6.129792
0	6.566129	4.286848	0.480768	1.362176	6.129792
0	6.667147	4.286848	0.480768	1.362176	6.129792
0	6.768164	4.286848	0.480768	1.362176	6.129792
0	6.869181	4.286848	0.480768	1.362176	6.129792
0	6.970199	4.286848	0.480768	1.362176	6.129792
0	7.071216	4.286848	0.480768	1.362176	6.129792
0	7.172234	4.286848	0.480768	1.362176	6.129792
0	7.273251	4.286848	0.480768	1.362176	6.129792
0	7.374268	4.286848	0.480768	1.362176	6.129792
0	7.475286	4.286848	0.480768	1.362176	6.129792
0	7.576303	4.286848	0.480768	1.362176	6.129792
0	7.677320	4.286848	0.480768	1.362176	6.129792
0	7.778338	4.286848	0.480768	1.362176	6.129792
0	7.879355	4.286848	0.480768	1.362176	6.129792
0	7.980373	4.286848	0.480768	1.362176	6.129792
0	8.081390	4.286848	0.480768	1.362176	6.129792
0	8.182407	4.286848	0.480768	1.362176	6.129792
0	8.283425	4.286848	0.480768	1.362176	6.129792
0	8.384442	4.286848	0.480768	1.362176	6.129792
0	8.485459	4.286848	0.480768	1.362176	6.129792
0	8.586477	4.326912	0.480768	1.362176	6.169856
0	8.687494	4.326912	0.480768	1.362176	6.169856
0	8.788512	4.286848	0.480768	1.362176	6.129792
0	8.889529	4.286848	0.480768	1.362176	6.129792
0	8.990546	4.286848	0.480768	1.362176	6.129792
0	9.091564	4.286848	0.480768	1.362176	6.129792
0	9.192581	4.286848	0.480768	1.362176	6.129792
0	9.293598	4.286848	0.480768	1.362176	6.129792
0	9.394616	4.286848	0.480768	1.362176	6.129792
0	9.495633	4.286848	0.480768	1.362176	6.129792
0	9.596651	4.286848	0.480768	1.362176	6.129792
0	9.697668	4.286848	0.480768	1.362176	6.129792
0	9.798685	4.286848	0.480768	1.362176	6.129792
0	9.899703	4.286848	0.480768	1.362176	6.129792
0	10.000720	4.286848	0.480768	1.362176	6.129792
