Set_id	Time	Line 0	Line 1	Line 2	Sum
0	0.000000	4.527232	0.640000	1.362176	6.529408
0	0.100854	4.567296	0.680000	1.362176	6.609472
0	0.201708	4.567296	0.680000	1.362176	6.609472
0	0.302563	4.567296	0.640000	1.362176	6.569472
0	0.403417	4.527232	0.640000	1.362176	6.529408
0	0.504271	4.527232	0.641024	1.362176	6.530432
0	0.605125	4.527232	0.641024	1.362176	6.530432
0	0.705979	4.527232	0.641024	1.362176	6.530432
0	0.806833	4.527232	0.641024	1.362176	6.530432
0	0.907688	4.527232	0.641024	1.362176	6.530432
0	1.008542	4.487168	0.641024	1.362176	6.490368
0	1.109396	4.487168	0.641024	1.362176	6.490368
0	1.210250	4.487168	0.641024	1.362176	6.490368
0	1.311104	4.487168	0.641024	1.362176	6.490368
0	1.411959	4.487168	0.641024	1.362176	6.490368
0	1.512813	4.487168	0.641024	1.362176	6.490368
0	1.613667	4.487168	0.641024	1.362176	6.490368
0	1.714521	4.567296	0.681088	1.362176	6.610560
0	1.815375	4.567296	0.681088	1.362176	6.610560
0	1.916230	4.527232	0.681088	1.362176	6.570496
0	2.017084	4.527232	0.641024	1.362176	6.530432
0	2.117938	4.527232	0.641024	1.362176	6.530432
0	2.218792	4.527232	0.641024	1.362176	6.530432
0	2.319646	4.527232	0.641024	1.362176	6.530432
0	2.420500	4.527232	0.641024	1.362176	6.530432
0	2.521355	4.487168	0.641024	1.362176	6.490368
0	2.622209	4.487168	0.641024	1.362176	6.490368
0	2.723063	4.487168	0.641024	1.362176	6.490368
0	2.823917	4.487168	0.641024	1.362176	6.490368
0	2.924771	4.487168	0.641024	1.362176	6.490368
0	3.025626	4.487168	0.641024	1.362176	6.490368
0	3.126480	4.487168	0.641024	1.362176	6.490368
0	3.227334	4.487168	0.641024	1.362176	6.490368
0	3.328188	4.527232	0.641024	1.362176	6.530432
0	3.429042	4.567296	0.681088	1.362176	6.610560
0	3.529896	4.527232	0.681088	1.362176	6.570496
0	3.630751	4.527232	0.681088	1.362176	6.570496
0	3.731605	4.527232	0.641024	1.362176	6.530432
0	3.832459	4.527232	0.641024	1.362176	6.530432
0	3.933313	4.527232	0.641024	1.362176	6.530432
0	4.034167	4.527232	0.641024	1.362176	6.530432
0	4.135022	4.527232	0.641024	1.362176	6.530432
0	4.235876	4.527232	0.641024	1.362176	6.530432
0	4.336730	4.527232	0.641024	1.362176	6.530432
0	4.437584	4.567296	0.641024	1.362176	6.570496
0	4.538438	4.527232	0.641024	1.362176	6.530432
0	4.639293	4.567296	0.641024	1.362176	6.570496
0	4.740147	4.567296	0.641024	1.362176	6.570496
0	4.841001	4.567296	0.641024	1.362176	6.570496
0	4.941855	4.567296	0.641024	1.362176	6.570496
0	5.042709	4.607360	0.680000	1.402240	6.689600
0	5.143563	4.607360	0.680000	1.402240	6.689600
0	5.244418	4.607360	0.680000	1.402240	6.689600
0	5.345272	4.567296	0.640000	1.362176	6.569472
0	5.446126	4.567296	0.641024	1.362176	6.570496
0	5.546980	4.527232	0.641024	1.362176	6.530432
0	5.647834	4.527232	0.641024	1.362176	6.530432
0	5.748689	4.527232	0.641024	1.362176	6.530432
0	5.849543	4.527232	0.641024	1.362176	6.530432
0	5.950397	4.527232	0.641024	1.362176	6.530432
0	6.051251	4.527232	0.641024	1.362176	6.530432
0	6.152105	4.487168	0.641024	1.362176	6.490368
0	6.252959	4.487168	0.641024	1.362176	6.490368
0	6.353814	4.487168	0.641024	1.362176	6.490368
0	6.454668	4.487168	0.641024	1.362176	6.490368
0	6.555522	4.487168	0.641024	1.362176	6.490368
0	6.656376	4.567296	0.680000	1.362176	6.609472
0	6.757230	4.567296	0.681088	1.362176	6.610560
0	6.858085	4.527232	0.641024	1.362176	6.530432
0	6.958939	4.527232	0.641024	1.362176	6.530432
0	7.059793	4.527232	0.641024	1.362176	6.530432
0	7.160647	4.527232	0.641024	1.362176	6.530432
0	7.261501	4.527232	0.641024	1.362176	6.530432
0	7.362355	4.527232	0.641024	1.362176	6.530432
0	7.463210	4.527232	0.641024	1.362176	6.530432
0	7.564064	4.487168	0.641024	1.362176	6.490368
0	7.664918	4.487168	0.641024	1.362176	6.490368
0	7.765772	4.487168	0.641024	1.362176	6.490368
0	7.866626	4.487168	0.641024	1.362176	6.490368
0	7.967481	4.487168	0.641024	1.362176	6.490368
0	8.068335	4.487168	0.641024	1.362176	6.490368
0	8.169189	4.487168	0.641024	1.362176	6.490368
0	8.270043	4.527232	0.641024	1.362176	6.530432
0	8.370897	4.567296	0.681088	1.362176	6.610560
0	8.471752	4.527232	0.641024	1.362176	6.530432
0	8.572606	4.527232	0.641024	1.362176	6.530432
0	8.673460	4.527232	0.641024	1.362176	6.530432
0	8.774314	4.527232	0.641024	1.362176	6.530432
0	8.875168	4.527232	0.641024	1.362176	6.530432
0	8.976022	4.527232	0.641024	1.362176	6.530432
0	9.076877	4.527232	0.641024	1.362176	6.530432
0	9.177731	4.487168	0.641024	1.362176	6.490368
0	9.278585	4.487168	0.641024	1.362176	6.490368
0	9.379439	4.487168	0.641024	1.362176	6.490368
0	9.480293	4.487168	0.641024	1.362176	6.490368
0	9.581148	4.487168	0.641024	1.362176	6.490368
0	9.682002	4.487168	0.641024	1.362176	6.490368
0	9.782856	4.487168	0.641024	1.362176	6.490368
0	9.883710	4.487168	0.641024	1.362176	6.490368
0	9.984564	4.567296	0.681088	1.362176	6.610560
0	10.085418	4.527232	0.681088	1.362176	6.570496
0	10.186273	4.527232	0.641024	1.362176	6.530432
0	10.287127	4.527232	0.641024	1.362176	6.530432
0	10.387981	4.527232	0.641024	1.362176	6.530432
0	10.488835	4.527232	0.641024	1.362176	6.530432
0	10.589689	4.527232	0.641024	1.362176	6.530432
0	10.690544	4.527232	0.641024	1.362176	6.530432
0	10.791398	4.567296	0.641024	1.362176	6.570496
0	10.892252	4.567296	0.641024	1.362176	6.570496
0	10.993106	4.567296	0.641024	1.362176	6.570496
0	11.093960	4.567296	0.641024	1.362176	6.570496
0	11.194815	4.567296	0.641024	1.362176	6.570496
0	11.295669	4.567296	0.641024	1.362176	6.570496
0	11.396523	4.567296	0.641024	1.362176	6.570496
0	11.497377	4.567296	0.641024	1.362176	6.570496
0	11.598231	4.607360	0.680000	1.402240	6.689600
0	11.699085	4.607360	0.680000	1.402240	6.689600
0	11.799940	4.567296	0.680000	1.402240	6.649536
0	11.900794	4.567296	0.641024	1.362176	6.570496
0	12.001648	4.527232	0.641024	1.362176	6.530432
0	12.102502	4.527232	0.641024	1.362176	6.530432
0	12.203356	4.527232	0.641024	1.362176	6.530432
0	12.304211	4.527232	0.641024	1.362176	6.530432
0	12.405065	4.527232	0.641024	1.362176	6.530432
0	12.505919	4.487168	0.641024	1.362176	6.490368
0	12.606773	4.487168	0.641024	1.362176	6.490368
0	12.707627	4.487168	0.641024	1.362176	6.490368
0	12.808481	4.487168	0.641024	1.362176	6.490368
0	12.909336	4.487168	0.641024	1.362176	6.490368
0	13.010190	4.487168	0.641024	1.362176	6.490368
0	13.111044	4.487168	0.641024	1.362176	6.490368
0	13.211898	4.527232	0.681088	1.362176	6.570496
0	13.312752	4.567296	0.681088	1.362176	6.610560
0	13.413607	4.527232	0.681088	1.362176	6.570496
0	13.514461	4.527232	0.641024	1.362176	6.530432
0	13.615315	4.527232	0.641024	1.362176	6.530432
0	13.716169	4.527232	0.641024	1.362176	6.530432
0	13.817023	4.527232	0.641024	1.362176	6.530432
0	13.917878	4.487168	0.641024	1.362176	6.490368
0	14.018732	4.487168	0.641024	1.362176	6.490368
0	14.119586	4.487168	0.641024	1.362176	6.490368
0	14.220440	4.487168	0.641024	1.362176	6.490368
0	14.321294	4.487168	0.641024	1.362176	6.490368
0	14.422148	4.487168	0.641024	1.362176	6.490368
0	14.523003	4.487168	0.641024	1.362176	6.490368
0	14.623857	4.487168	0.641024	1.362176	6.490368
0	14.724711	4.487168	0.641024	1.362176	6.490368
0	14.825565	4.527232	0.641024	1.362176	6.530432
0	14.926419	4.567296	0.680000	1.362176	6.609472
0	15.027274	4.527232	0.681088	1.362176	6.570496
0	15.128128	4.527232	0.681088	1.362176	6.570496
0	15.228982	4.527232	0.680000	1.362176	6.569408
0	15.329836	4.527232	0.681088	1.362176	6.570496
0	15.430690	4.527232	0.681088	1.362176	6.570496
0	15.531544	4.527232	0.641024	1.362176	6.530432
0	15.632399	4.527232	0.641024	1.362176	6.530432
0	15.733253	4.527232	0.641024	1.362176	6.530432
0	15.834107	4.527232	0.641024	1.362176	6.530432
0	15.934961	4.527232	0.641024	1.362176	6.530432
0	16.035815	4.527232	0.641024	1.362176	6.530432
0	16.136670	4.487168	0.641024	1.362176	6.490368
0	16.237524	4.487168	0.641024	1.362176	6.490368
0	16.338378	4.487168	0.641024	1.362176	6.490368
